,0
9,1396
9,1833
9,991
9,755
9,737
9,922
9,1749
9,480
9,730
9,1631
9,1629
9,1719
9,1621
9,1609
9,1971
9,1414
9,849
9,573
9,2056
9,670
9,736
9,1474
9,1421
9,1953
9,1238
9,1200
9,1701
9,677
9,778
9,1396
9,830
9,641
9,1791
9,1384
9,1649
9,1697
9,869
9,714
9,1049
9,1760
9,1369
9,551
9,934
9,1536
9,511
9,538
9,1769
9,892
9,1748
9,1331
9,1155
9,953
9,1592
9,806
9,1447
9,503
9,2103
9,1401
9,1490
9,797
9,929
9,1808
9,1564
9,1696
9,1565
9,1720
9,770
9,1720
9,1876
9,1698
9,797
9,813
9,1608
9,1119
9,1845
9,678
9,1403
9,1561
9,1720
9,1462
9,1475
9,544
9,1710
9,1023
9,1373
9,920
9,450
9,879
9,1260
9,841
9,1268
9,1179
9,748
9,1598
9,1239
9,1643
9,1744
9,941
9,770
9,1044
9,487
9,1267
9,1036
9,1811
9,906
9,80
9,1366
9,1631
9,970
9,1780
9,1276
9,1379
9,747
